Line#,Date,"Solar Radiation (S-LIB 10455351:10444880-1), W/m^2, Pyranometer 1","Temperature (S-TMB 10455351:10138775-1), *C","Current (91-U30-CVIA 10455351:10417917-2), mA","Voltage (91-U30-CVIA 10455351:10417917-1), V","Battery (U30 BATTERY 10455351:10455351-B), V"
140,06/12/14 14:09:00,961,,0.000,-0.199,4.51
141,06/12/14 14:10:00,982,,0.000,-0.199,4.44
142,06/12/14 14:11:00,"1,001",,0.000,-0.199,4.48
143,06/12/14 14:12:00,"1,002",,0.000,-0.199,4.50
144,06/12/14 14:13:00,994,,0.000,-0.199,4.51
145,06/12/14 14:14:00,309,,0.000,-0.199,4.51
146,06/12/14 14:15:00,263,,0.000,-0.199,4.51
147,06/12/14 14:16:00,257,,0.000,-0.199,4.51
148,06/12/14 14:17:00,272,,0.000,-0.199,4.51
149,06/12/14 14:18:00,261,,0.000,-0.199,4.51
150,06/12/14 14:19:00,826,,0.000,-0.199,4.51
151,06/12/14 14:20:00,907,,0.000,-0.199,4.51
152,06/12/14 14:21:00,968,,0.000,-0.199,4.53
153,06/12/14 14:22:00,978,,0.000,-0.199,4.49
154,06/12/14 14:23:00,937,,0.000,-0.199,4.50
155,06/12/14 14:24:00,483,,0.000,-0.199,4.51
156,06/12/14 14:25:00,246,,0.000,-0.199,4.51
157,06/12/14 14:26:00,243,,0.000,-0.199,4.51
158,06/12/14 14:27:00,929,,0.000,-0.199,4.51
159,06/12/14 14:28:00,954,,0.000,-0.199,4.51
160,06/12/14 14:29:00,927,,0.000,-0.199,4.51
161,06/12/14 14:30:00,319,,0.000,-0.199,4.51
162,06/12/14 14:31:00,949,,0.000,-0.199,4.51
163,06/12/14 14:32:00,933,,0.000,-0.199,4.48
164,06/12/14 14:33:00,914,,0.000,-0.199,4.50
165,06/12/14 14:34:00,314,,0.000,-0.199,4.51
166,06/12/14 14:35:00,747,,0.000,-0.199,4.51
167,06/12/14 14:36:00,713,,0.000,-0.199,4.51
168,06/12/14 14:37:00,893,,0.000,-0.199,4.54
169,06/12/14 14:38:00,891,,0.000,-0.199,4.51
170,06/12/14 14:39:00,878,,0.000,-0.199,4.51
171,06/12/14 14:40:00,928,,0.000,-0.199,4.51
172,06/12/14 14:41:00,934,,0.000,-0.199,4.51
173,06/12/14 14:42:00,947,,0.000,-0.199,4.44
174,06/12/14 14:43:00,943,,0.000,-0.199,4.49
175,06/12/14 14:44:00,939,,0.000,-0.199,4.51
176,06/12/14 14:45:00,941,,0.000,-0.199,4.51
177,06/12/14 14:46:00,811,,0.000,-0.199,4.51
178,06/12/14 14:47:00,877,,0.000,-0.199,4.51
179,06/12/14 14:48:00,953,,0.000,-0.199,4.51
180,06/12/14 14:49:00,909,,0.000,-0.199,4.51
181,06/12/14 14:50:00,918,,0.000,-0.199,4.51
182,06/12/14 14:51:00,897,,0.000,-0.199,4.51
183,06/12/14 14:52:00,908,,0.000,-0.199,4.51
184,06/12/14 14:53:00,926,,0.000,-0.199,4.51
185,06/12/14 14:54:00,728,,0.000,-0.199,4.50
186,06/12/14 14:55:00,924,,0.000,-0.199,4.51
187,06/12/14 14:56:00,891,,0.000,-0.199,4.51
188,06/12/14 14:57:00,867,,0.000,-0.199,4.51
189,06/12/14 14:58:00,862,,0.000,-0.199,4.51
190,06/12/14 14:59:00,227,,0.000,-0.199,4.51
191,06/12/14 15:00:00,266,,0.000,-0.199,4.51
192,06/12/14 15:01:00,186,,0.000,-0.199,4.51
193,06/12/14 15:02:00,188,,0.000,-0.199,4.51
194,06/12/14 15:03:00,206,,0.000,-0.199,4.51
195,06/12/14 15:04:00,889,,0.000,-0.199,4.48
196,06/12/14 15:05:00,894,,0.000,-0.199,4.50
197,06/12/14 15:06:00,849,,0.000,-0.199,4.51
198,06/12/14 15:07:00,718,,0.000,-0.199,4.51
199,06/12/14 15:08:00,854,,0.000,-0.199,4.51
200,06/12/14 15:09:00,897,,0.000,-0.199,4.51
201,06/12/14 15:10:00,923,,0.000,-0.199,4.51
202,06/12/14 15:11:00,926,,0.000,-0.199,4.51
203,06/12/14 15:12:00,916,,0.000,-0.199,4.51
204,06/12/14 15:13:00,253,,0.000,-0.199,4.51
205,06/12/14 15:14:00,229,,0.000,-0.199,4.44
206,06/12/14 15:15:00,223,,0.000,-0.199,4.49
207,06/12/14 15:16:00,378,,0.000,-0.199,4.50
208,06/12/14 15:17:00,792,,0.000,-0.199,4.51
209,06/12/14 15:18:00,827,,0.000,-0.199,4.51
210,06/12/14 15:19:00,823,,0.000,-0.199,4.51
211,06/12/14 15:20:00,824,,0.000,-0.199,4.51
212,06/12/14 15:21:00,821,,0.000,-0.199,4.51
213,06/12/14 15:22:00,818,,0.000,-0.199,4.51
214,06/12/14 15:23:00,822,,0.000,-0.199,4.51
215,06/12/14 15:24:00,822,,0.000,-0.199,4.51
216,06/12/14 15:25:00,817,,0.000,-0.199,4.53
217,06/12/14 15:26:00,811,,0.000,-0.199,4.49
218,06/12/14 15:27:00,808,,0.000,-0.199,4.50
219,06/12/14 15:28:00,803,,0.000,-0.199,4.51
220,06/12/14 15:29:00,802,,0.000,-0.199,4.51
221,06/12/14 15:30:00,799,,0.000,-0.199,4.51
222,06/12/14 15:31:00,796,,0.000,-0.199,4.51
223,06/12/14 15:32:00,791,,0.000,-0.199,4.51
